                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.85016,                0.39153,                0.96541,                0.89402,                0.82417,                0.89116,                0.50687,                 1.4212,                0.62807,                 1.2891,               0.003334,               0.003334,               0.003334
                    104,                0.85296,                0.39207,                0.96319,                0.89544,                0.81741,                0.88635,                0.50575,                 1.4128,                0.63508,                 1.2837,               0.003268,               0.003268,               0.003268
                    105,                0.83139,                0.38279,                  0.956,                0.88921,                0.81665,                 0.8846,                0.50384,                 1.4204,                0.63809,                 1.2857,               0.003202,               0.003202,               0.003202
                    106,                0.84607,                0.38985,                0.96364,                0.89366,                0.81921,                0.88651,                0.50315,                 1.4222,                0.63209,                 1.2877,               0.003136,               0.003136,               0.003136
                    107,                0.83858,                0.38504,                0.95699,                0.88831,                0.82039,                0.88575,                0.50337,                 1.4227,                0.63237,                 1.2909,                0.00307,                0.00307,                0.00307
                    108,                0.82831,                0.38644,                0.95393,                 0.8926,                0.82295,                0.88887,                0.50768,                 1.4186,                0.62493,                 1.2854,               0.003004,               0.003004,               0.003004
                    109,                0.82964,                0.38365,                0.95589,                0.89657,                0.81655,                0.88657,                0.50778,                 1.4246,                0.62456,                 1.2899,               0.002938,               0.002938,               0.002938
                    110,                0.82845,                0.37998,                0.95443,                0.89033,                0.82779,                0.88734,                0.50593,                 1.4266,                0.62714,                 1.2913,               0.002872,               0.002872,               0.002872
                    111,                0.82101,                0.37815,                0.95059,                0.89373,                0.82345,                0.88682,                0.50604,                 1.4299,                0.63657,                 1.2967,               0.002806,               0.002806,               0.002806
                    112,                 0.8196,                0.37824,                0.95398,                0.89099,                0.81768,                0.88448,                0.50436,                 1.4338,                0.64486,                  1.305,                0.00274,                0.00274,                0.00274
                    113,                0.81978,                0.37506,                0.94958,                0.88597,                0.82295,                0.88449,                0.50441,                 1.4346,                0.64585,                 1.3107,               0.002674,               0.002674,               0.002674
                    114,                0.81447,                0.37182,                0.94581,                 0.8937,                 0.8253,                0.88822,                0.50484,                  1.431,                0.64268,                 1.3073,               0.002608,               0.002608,               0.002608
